Company,Product,Cpu,Ram,Memory,Gpu,Price_euros,Age_years,Condition_10,Battery_Health_%
Dell,XPS 13,Intel Core i7 7560U 2.4GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,1379.0,5,7,65
Lenovo,ThinkPad Yoga,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1399.0,5,7,65
HP,Probook 440,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,722.0,6,6,58
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1629.0,5,7,65
HP,Spectre x360,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1398.99,5,7,65
HP,Probook 440,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,1084.0,5,7,65
Dell,Inspiron 7570,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,1130.33,5,7,65
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 920MX,564.0,6,6,58
Asus,VivoBook S15,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce 940MX,1118.0,5,7,65
Acer,Spin 3,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Intel HD Graphics 620,479.0,6,6,58
MSI,GS63VR 7RG,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,2241.5,4,8,72
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,629.0,6,6,58
HP,Probook 470,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce 930MX ,1271.0,5,7,65
Acer,Aspire 3,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon R5,451.0,6,6,58
HP,250 G6,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics 400,259.0,6,6,58
HP,Probook 440,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,812.0,5,7,65
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,AMD E-Series 6110 1.5GHz,4GB,64GB SSD,AMD Radeon R2,277.99,6,6,58
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,1396.0,5,7,65
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,928.0,5,7,65
Dell,Inspiron 5567,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,638.99,6,6,58
Dell,Inspiron 3567,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M430,449.0,6,6,58
Acer,Swift 3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,884.0,5,7,65
Acer,Aspire A515-51G-37JS,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Nvidia GeForce MX130,572.0,6,6,58
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Intel HD Graphics 620,598.0,6,6,58
HP,Probook 440,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,988.0,5,7,65
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,252.36,6,6,58
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,938.0,5,7,65
Lenovo,IdeaPad 320-15IKBN,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 920MX,499.0,6,6,58
HP,Envy 13-AD007nv,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,699.0,6,6,58
Acer,Aspire 5,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Nvidia GeForce MX130,655.0,6,6,58
Lenovo,ThinkPad E480,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon RX 550,1116.02,5,7,65
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050M,869.0,5,7,65
Toshiba,Satellite Pro,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,602.0,6,6,58
HP,255 G6,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,369.0,6,6,58
Asus,ZenBook UX430UA,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1099.0,5,7,65
HP,EliteBook Folio,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,Intel HD Graphics 515,2014.0,4,8,72
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,344.0,6,6,58
MSI,GE72MVR 7RG,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2029.0,4,8,72
Acer,Aspire A315-51,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,447.0,6,6,58
Dell,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,1249.26,5,7,65
Dell,Inspiron 7567,Intel Core i7 7700HQ 2.8GHz,8GB,1.0TB Hybrid,Nvidia GeForce GTX 1050,899.0,5,7,65
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,498.0,6,6,58
MSI,GE73VR 7RE,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1890.0,5,7,65
HP,EliteBook 840,Intel Core i5 7500U 2.7GHz,4GB,256GB SSD,Intel HD Graphics 620,1082.0,5,7,65
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Intel Core i5 8250U 1.6GHz,6GB,256GB SSD,AMD Radeon 520,619.0,6,6,58
Lenovo,Yoga 520-14IKB,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,Intel HD Graphics 620,629.0,6,6,58
Asus,ZenBook Flip,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel HD Graphics 620,1315.0,5,7,65
Dell,Inspiron 5579,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1049.0,5,7,65
Toshiba,Satellite Pro,Intel Core i3 6006U 2.2GHz,4GB,500GB HDD,Intel HD Graphics 520,447.0,6,6,58
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5 M420,403.0,6,6,58
Acer,Aspire A517-51G,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Nvidia GeForce MX150,805.0,5,7,65
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 520,728.0,6,6,58
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,1079.0,5,7,65
Acer,Aspire A315-31,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,348.0,6,6,58
MSI,GE63VR 7RE,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1799.0,5,7,65
Acer,Aspire 3,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,363.51,6,6,58
Dell,Inspiron 5577,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1060.49,5,7,65
Acer,Aspire A517-51G,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce MX150,854.0,5,7,65
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,754.0,6,6,58
Huawei,MateBook X,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1349.0,5,7,65
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Intel Core i5 7200U 2.5GHz,6GB,2TB HDD,AMD Radeon 520,699.0,6,6,58
Lenovo,IdeaPad 320-15AST,AMD A6-Series 9220 2.9GHz,4GB,500GB HDD,AMD Radeon R4 Graphics,309.0,6,6,58
Toshiba,Satellite Pro,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Intel HD Graphics 620,489.0,6,6,58
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX,923.0,5,7,65
Dell,Inspiron 3567,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Intel HD Graphics 620,459.0,6,6,58
Acer,Aspire A315-51,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,449.0,6,6,58
MSI,GT80S 6QF-074US,Intel Core i7 6920HQ 2.9GHz,32GB,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,2799.0,4,8,72
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD R17M-M1-70,813.0,5,7,65
HP,Spectre x360,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1499.0,5,7,65
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,1049.0,5,7,65
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1399.0,5,7,65
Lenovo,Yoga 920-13IKB,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,1849.0,5,7,65
Toshiba,Satellite Pro,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,793.0,5,7,65
Xiaomi,Mi Notebook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce MX150,1199.0,5,7,65
Dell,Inspiron 7773,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce 150MX,1549.0,5,7,65
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,2397.0,4,8,72
Lenovo,Legion Y520-15IKBN,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,779.0,5,7,65
Acer,Swift 7,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,989.0,5,7,65
Dell,Inspiron 5770,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,1085.0,5,7,65
Lenovo,Thinkpad Yoga,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Intel HD Graphics 620,2824.0,4,8,72
Vero,K147 (N3350/4GB/32GB/FHD/W10),Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,260.0,6,6,58
Xiaomi,Mi Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce MX150,999.9,5,7,65
Lenovo,IdeaPad 320-17IKBR,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce MX150,698.0,6,6,58
Dell,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,839.0,5,7,65
HP,ProBook 470,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,914.0,5,7,65
